hub,category,sku,shipped_qty,avg_shipped_qty,current_stock,stock_month,stock_turn,sd_shipped_qty,mode,leg_days,wh_days,leadtime_days,handling_cost,leadtime_days_sd,service_level,holding_cost_per_unit_year,lat,lng,color,safety_stock,eoq,rop,days_to_rop,recommended_mode,rop_date,actual_eoq,expected_pull_next_90d,console_support
CHANGI,B,SKU_AA,274814,45802.33333,236553,5.164649545,2.32348776,4580.233333,Ocean,48,10,58,18000,5.8,0.9,12,39.0508,-84.6673,0,13812,40606,101092,90.01782566,Ocean,2/4/2023,121818.0,300340.0,False
CHANGI,B,SKU_AA,274814,45802.33333,236553,5.164649545,2.32348776,4580.233333,Air,13,3,16,35000,1.6,0.9,12,39.0508,-84.6673,0,5257,56623,29334,137.7031309,Ocean,19/5/2023,56623.0,106186.0,True
CHANGI,B,SKU_AB,227625,37937.5,141250,3.723228995,3.22300885,3793.75,Ocean,48,10,58,18000,5.8,0.9,12,39.0508,-84.6673,0,11440,36956,83733,46.1455006,Ocean,17/2/2023,110868.0,153460.0,False
CHANGI,B,SKU_AB,227625,37937.5,141250,3.723228995,3.22300885,3793.75,Air,13,3,16,35000,1.6,0.9,12,39.0508,-84.6673,0,4354,51533,24297,93.83060194,Ocean,5/4/2023,51533.0,31174.0,True
CHANGI,B,SKU_AC,184348,30724.66667,138808,4.517803285,2.656158147,3072.466667,Ocean,48,10,58,18000,5.8,0.9,12,39.0508,-84.6673,0,9265,33258,67813,70.3302932,Ocean,13/3/2023,99774.0,99774.0,True
CHANGI,B,SKU_AC,184348,30724.66667,138808,4.517803285,2.656158147,3072.466667,Air,13,3,16,35000,1.6,0.9,12,39.0508,-84.6673,0,3526,46376,19677,118.015609,Ocean,30/4/2023,46376.0,,
CHANGI,B,SKU_AD,213592,35598.66667,96762,2.718135511,4.41479093,3559.866667,Ocean,48,10,58,18000,5.8,0.9,12,39.0508,-84.6673,0,10735,35799,78571,15.55337654,Ocean,17/1/2023,107397.0,107397.0,False
CHANGI,B,SKU_AD,213592,35598.66667,96762,2.718135511,4.41479093,3559.866667,Air,13,3,16,35000,1.6,0.9,12,39.0508,-84.6673,0,4086,49919,22799,63.23865588,Ocean,6/3/2023,49919.0,49919.0,True
CHANGI,B,SKU_AE,596240,99373.33333,625285,6.292281632,1.907098363,9937.333333,Ocean,48,10,58,18000,5.8,0.9,12,39.0508,-84.6673,0,29966,59812,219329,124.3400252,Ocean,6/5/2023,239248.0,,
CHANGI,B,SKU_AE,596240,99373.33333,625285,6.292281632,1.907098363,9937.333333,Air,13,3,16,35000,1.6,0.9,12,39.0508,-84.6673,0,11405,83403,63643,172.0249989,Ocean,23/6/2023,83403.0,,
